BeerBrand,BeerType,AlcoholPercentage,Brewery,
3 Schténg,hoge gisting,"6,00%",Brasserie Grain d'Orge,2002-heden
400,blond,"5,60%",t Hofbrouwerijke voor *Brouwerij Montaigu*,?-?
7PK,blond,"7,00%",Brouwerij Anders voor VZW De Winning Maatwerk,2013-heden
IV Saison,saison,"6,50%",Brasserie de Jandrain-Jandrenouille,2007-heden
V Cense,"hoge gisting, spéciale belge","7,50%",Brasserie de Jandrain-Jandrenouille,?-?
VI Wheat,"hoge gisting, tarwebier","6,00%",Brasserie de Jandrain-Jandrenouille,?-?
Aardmonnik,oud bruin,"8,00%",De Struise Brouwers,50-heden
Aarschotse Bruine,bruin,"6,00%",Stadsbrouwerij Aarschot,?-1969 en 2012-heden
Abbay d'Aulne Blonde des Pères 6,"abdijbier, blond","6,00%",Brasserie Val de Sambre,1954-heden
Abbay d'Aulne Brune des Pères 6,"abdijbier, bruin","6,00%",Brasserie Val de Sambre,1954-heden
Abbay d'Aulne Super Noël 9,"abdijbier, kerstbier","9,00%",Brasserie Val de Sambre,1954-heden
Abbay d'Aulne Triple Blonde,"abdijbier, tripel","8,00%",Brasserie Val de Sambre,1954-heden
Abbay d'Aulne Triple Brune,"abdijbier, tripel","8,00%",Brasserie Val de Sambre,1954-heden
Abbay d'Aulne Val de Sambre,"abdijbier, amber","6,40%",Brasserie Val de Sambre,1954-heden
Abbaye de Bonne-Espérance,abdijbier,"7,80%",Brouwerij Lefebvre,1970-heden
Abbaye de Forest,"abdijbier, tripel","6,50%",Brasserie de Silly,2005-heden
Abbaye de la Thure,abdijbier,"10,00%",Brasserie Brootcoorens,
Abbaye de Saint-Martin Blonde,abdijbier,"7,00%",Brasserie de Brunehaut,2002-heden
Abbaye de Saint-Martin Brune,abdijbier,"8,00%",Brasserie de Brunehaut,2002-heden
Abbaye de Saint-Martin Cuvée de Noël,"abdijbier, kerstbier","8,50%",Brasserie de Brunehaut,?-heden
Abbaye de Saint-Martin Triple,"abdijbier, tripel","9,00%",Brasserie de Brunehaut,?-heden
*Abbaye de Oudkerken*,abdijbier,"6,20%",Brouwerij Lefebvre,
Abbaye des Rocs Blonde,"abdijbier, hoge gisting","7,50%",Brasserie de l'Abbaye des Rocs,1984-heden
Abbaye des Rocs Brune,abdijbier bruin,"9,00%",Brasserie de l'Abbaye des Rocs,1984-heden
Abbaye des Rocs Grand Cru,abdijbier ale,"9,50%",Brasserie de l'Abbaye des Rocs,?-heden
Abbaye des Rocs Spéciale Noël,"abdijbier, kerstbier","9,00%",Brasserie de l'Abbaye des Rocs,?-heden
*Abdis Blond*,blond,"6,50%",Brouwerij Riva,2006-2008
*Abdis Bruin*,bruin,"6,50%",Brouwerij Riva,2006-2008
*Abdis Tripel*,tripel,"8,20%",Brouwerij Riva,2006-2008
Abdij van Roosenberg Dubbel,dubbel,"7,00%",Brouwerij Van Steenberge,1971-heden (e 1996-heden)
Abdij van Roosenberg Tripel,Tripel,"9,00%",Brouwerij Van Steenberge,1971-heden (e 1996-heden)
Achel 5 Blond,"trappist, blond","5,00%",Achelse Kluis,1998-heden
Achel 5 Bruin,"trappist, bruin","5,00%",Achelse Kluis,1998-heden
*Achel 7*,trappist,"7,00%",Achelse Kluis,1999-2001?
*Achel 6*,trappist,"6,00%",Achelse Kluis,1999-2001?
Achel 8 Blond,"trappist, blond","8,00%",Achelse Kluis,2001-heden
Achel 8 Bruin,"trappist, bruin","8,00%",Achelse Kluis,2001-heden
Achel Blond Extra,"trappist, blond","9,50%",Achelse Kluis,2010-heden
Achel Bruin Extra,"trappist, bruin","9,50%",Achelse Kluis,?-heden
Adelardus,abdijbier,"7,00%",Brouwerij Sint-Jozef voor Brouwerij Kerkom,2002-heden
Adelardus Tripel,"abdijbier, tripel","9,00%",Brouwerij Sint-Jozef voor Brouwerij Kerkom,2005-heden
Adler,pils,"6,50%",Brouwerij Haacht,1955-heden
Adriaen Brouwer,"hoge gisting, bruin","5,00%",Brouwerij Roman,?-heden
Adriaen Brouwer Dark Gold,"hoge gisting, bruin","8,50%",Brouwerij Roman,2008-heden
Affligem 10,abdijbier,"10,00%",Affligem Brouwerij (Heineken),1983-1986
Affligem Blond,"abdijbier, blond","6,80%",Affligem Brouwerij (vroeger Brouwerij De Smedt nu deel van Heineken),?-heden
Affligem Dubbel,"abdijbier, bruin","6,80%",Affligem Brouwerij (Heineken),1956-heden
Affligem 950 Cuvee,"abdijbier, blond","6,80%",Affligem Brouwerij (Heineken),2012-heden
Affligem Noël,"abdijbier, kerstbier","9,00%",Affligem Brouwerij (Heineken),?-heden
Affligem Patersvat,"abdijbier, dubbel gehopt","6,80%",Affligem Brouwerij (Heineken),?-heden
Affligem Rood,abdijbier,"6,70%",Affligem Brouwerij (Heineken),?-1994
Affligem Tripel,"abdijbier, tripel","8,50%",Affligem Brouwerij (Heineken),1957-heden
Agrumbocq,"hoge gisting, witbier, fruitbier","3,10%",Brasserie du Bocq,?-heden
Airborne,"abdijbier, dubbel","7,50%",Brasserie De Bouillon,?-?
*Akila Pils*,pils,"5,00%",Brouwerij Louwaege,?-2002
Alfoncine,robijnrood,"8,50%",Brouwerij Strubbe voor Biofresh Gavere,?-heden
*Alfri*,NA pils,"0,50%",Brouwerij Roman,?-heden
Alpaïde,donkere tripel,"10,00%",Brouwerij Nieuwhuys,
Alpaïde Cuvée van de generaal,blonde tripel,"8,50%",Brouwerij Nieuwhuys,2006-heden
Alpha,amber,"6,00%",Brouwerij Anders! voor *Brussels Beer Project*,
Altitude 6,"ale, blond","6,00%",Brasserie de l'Abbaye des Rocs,?-heden
*Alvinne blond*,blond,"6,30%",Brouwerij Alvinne,2004-2008
*Alvinne Extra Restyled*,lichtamber,"7,00%",Brouwerij Alvinne,2005-2010
*Alvinne Lex'ke*,blond,"6,30%",Brouwerij Alvinne,2008-?
*Alvinne Tripel*,tripel,"8,70%",Brouwerij Alvinne,2004-2010
Alvino Bourgogne Barrel OA,"fruitbier, oak aged","5,50%",Brouwerij Alvinne,?-heden
Ambetanterik,stout,"8,70%",Brouwerij Het Alternatief bij Brouwerij Alvinne,
Ambiorix,roodbruin,"8,00%",Brouwerij Slaghmuylder|1985-heden,
Angélus Blonde,blond,"7,00%",Brasserie Brootcoorens,?-heden
Angélus Brune,bruin,"7,00%",Brasserie Brootcoorens,?-heden
Angélus Spéciale Noël,kerstbier,"9,00%",Brasserie Brootcoorens,?-heden
*Anker Blond*,blond,"6,50%",Brouwerij Het Anker,?-?
*Anker Boscoulis*,fruitbier,"6,50%",Brouwerij Het Anker,2004-2009
Anker Herfstbok,"bruin speciaalbier, bokbier","6,50%",Brouwerij Het Anker,2003-heden
Anker Pils,pils,,Brouwerij Het Anker,?-1960
Anker Pils,pils,"5,00%",Brouwerij Het Anker,1998-heden
Antiek Blond,blond,"8,00%",Brouwerij Deca,?-heden
Antiek Bruin,bruin,"8,00%",Brouwerij Deca,?-heden
Antiek Super 5 Blond,blond,"5,00%",Brouwerij Deca,?-heden
Antigoon,blond,"6,70%",De Proefbrouwerij voor The Musketeers,2014-heden
Antwerps Blond,blond,"5,00%",Huisbrouwerij 't Pakhuis,?-heden
Antwerps Bruin,bruin,"5,80%",Huisbrouwerij 't Pakhuis,?-heden
Applebocq,fruitbier,"3,10%",Brasserie Du Bocq,?-heden
Arabier,blond,"8,00%",De Dolle Brouwers,?-heden
*Archiduc*,,"6,20%",Brasserie d'Ecaussinnes,
Arend Blond,blond,"6,50%",Brouwerij De Ryck,?-heden
Arend Dubbel,donkerbruin,"6,50%",Brouwerij De Ryck,?-heden
Arend Tripel,goudblond,"8,00%",Brouwerij De Ryck,?-heden
Arend Winter,donkeramber,"6,30%",Brouwerij De Ryck,1986-heden
Arendonker Bruin,bruin,"8,50%",Dorpsbrouwerij Humulus,2011-heden
Arendonker Tripel,goudblond,"8,00%",Dorpsbrouwerij Humulus,2012-heden
*Armand’4 Herfst*,oude geuze,"6,00%",Geuzestekerij 3 Fonteinen,2011-2015?
Armand’4 Lente,oude geuze,"6,00%",Geuzestekerij 3 Fonteinen,2011-heden
Armand’4 Winter,oude geuze,"6,00%",Geuzestekerij 3 Fonteinen,2012-heden
Armand’4 Zomer,oude geuze,"6,00%",Geuzestekerij 3 Fonteinen,2011-heden
Artevelde,Speciale Belge,"5,70%",Brouwerij Huyghe,1985-heden
Artevelde Grand Cru,roodbruin,"7,20%",Brouwerij Huyghe,1987-heden
Asterie,witbier,"4,90%",Brasserie d'Ecaussinnes,
*Atomium Premier Grand Cru*,amber,"8,00%",Brouwerij Van Steenberge,
Augrenette,blond,"4,50%",Brouwerij Augrenoise,?-heden
Augrenoise,troebel blond,"6,50%",Brouwerij Augrenoise,2001-heden
Augrenoise Blonde de Noël,"troebel blond, kerstbier","10,00%",Brouwerij Augrenoise,
Augustijn Blond,abdijbier,"7,50%",Brouwerij Van Steenberge,1978-heden
Augustijn Donker,abdijbier,"7,00%",Brouwerij Van Steenberge,1978-heden
Augustijn Grand Cru,"abdijbier, tripel","9,00%",Brouwerij Van Steenberge,?-heden
Authentic 621,bruin,"7,50%",Authentique Brasserie,
Authentic Ambrée,amber,"5,00%",Authentique Brasserie,
Authentic Blonde,blond,"6,50%",Authentique Brasserie,
Authentic Blonde de Noël,kerstbier,"9,00%",Authentique Brasserie,
Authentic Triple,tripel,"9,50%",Authentique Brasserie,
L'Autruche Biere des Gilles,blond troebel,"7,00%",Brasserie de Silenrieux,2002-heden
*Avec les Bons Vœux*,blond,"9,50%",Brouwerij Dupont,1980-heden
Averbode,abdijbier,"7,50%",Brouwerij Huyghe,2014-?
Babylone,bitter,"7,00%",Brouwerij Brussels Beer Project,2015-heden
Bacchus,oud bruin,"4,50%",Brouwerij Van Honsebrouck,?-heden
Bacchus Frambozenbier,fruitbier,"5,00%",Brouwerij Van Honsebrouck,?-heden
Bacchus Kriekenbier,fruitbier,"5,80%",Brouwerij Van Honsebrouck,?-heden
Balthazar,winterbier,"8,90%",Brouwerij Alvinne,2007-heden
Barbãr,"blond, honingbier","8,00%",Brouwerij Lefebvre,1995-heden
Barbãr Winter Bok,"bokbier, honingbier","8,00%",Brouwerij Lefebvre,?-heden
Barbãr Cuveé Special,honingbier,"8,00%",Brouwerij Lefebvre,2016-heden
Barbe d'Or (Goudbaard),blond,"7,50%",Brouwerij Verhaeghe,2009-heden
Barbe Noire (Zwartbaard),stout,"9,00%",Brouwerij Verhaeghe,2011-heden
Barbe Rouge (Roodbaard),amber,"8,00%",Brouwerij Verhaeghe,2010-heden
Barse Cuvée,bruin,"10,00%",Bierfirma Valocco,2013-heden
Bas,goudblond,"6,50%",De Proefbrouwerij voor bierfirma Bas-bieren,2008-heden
Bastogne Pale Ale,Belgian IPA,"6,50%",Brasserie de Bastogne,2011-heden
Basilius,amber,"7,00%",De Proefbrouwerij voor ’t Brugs Bierinstituut,2011-heden
Bavaro,"blond, lage gisting","3,60%",Brouwerij Haacht,?-heden
Bavik Blond,tafelbier,"1,50%",Brouwerij Bavik,?-heden
Bavik Faro,tafelbier,"1,50%",Brouwerij Bavik,?-heden
Bavik Pony-Stout,stout,"5,20%",Brouwerij Bavik,?-heden
Bavik Premium Pils,pils,"5,20%",Brouwerij Bavik,?-heden
Bavik Triple Bock,bokbier,"3,00%",Brouwerij Bavik,?-heden
*Beer for Life*,blond,"6,50%",Brouwerij Dilewyns,2011-2011
*Beernems Berenbier*,blond,"7,50%",brouwerij De Smedt nu Brouwerij Van Steenberge voor BIVO Drinks,2003-?
Beersel Bio,blond,"7,00%",Geuzestekerij 3 Fonteinen,
Beersel Blond,blond,"7,00%",Geuzestekerij 3 Fonteinen,
Beersel Lager,pils,"5,20%",Geuzestekerij 3 Fonteinen,
Bel Pils,pils,"5,00%",Brouwerij Duvel Moortgat,
Belgian Angel Stout,stout,"5,20%",Brasserie Brootcoorens,
Belgian Framboises,fruitbier,"3,50%",Brasserie Lefebvre,2004-heden
Belgian Kriek,fruitbier,"3,50%",Brasserie Lefebvre,2003-heden
Belge,Spéciale Belge,"5,00%",Brasserie La Binchoise,2003-heden
Belgian Pêches,fruitbier,"3,50%",Brasserie Lefebvre,2003-heden
Belgica IPA,IPA,"7,90%",Brouwerij Strubbe,
Belgoo Arboo,"tripel, amber","8,10%",Brouwerij Belgoobeer bij Brouwerij La Binchoise,2007-heden
Belgoo Bio Amber,biologisch,"7,80%",Brouwerij Belgoobeer bij Brouwerij La Binchoise,?-heden
Belgoo Bio Blond,biologisch,"6,40%",Brouwerij Belgoobeer bij Brouwerij La Binchoise,?-heden
Belgoo Magus,blond,"6,60%",Brouwerij Belgoobeer bij Brouwerij La Binchoise,2007-heden
Belgoo Maxus,goudblond,"8,10%",Brouwerij Belgoobeer bij Brouwerij La Binchoise,2007-heden
Belgoo Luppoo,goudblond,"6,50%",Brouwerij Belgoobeer bij Brouwerij La Binchoise,2007-heden
Bella Mère,blond,"6,50%",Brasserie Millevertus,2006-heden
Belle Cies,blond,"10,00%",Huisbrouwerij Den Tseut,?-heden
Belle-Fleur,IPA,"6,00%",Brouwerij De Dochter van de Korenaar,?-heden
Belle-Vue Framboise,fruitbier,"5,70%",Brouwerij Belle-Vue (InBev),?-heden
Belle-Vue Extra Framboise,fruitbier,"2,90%",Brouwerij Belle-Vue (Inbev),?-heden
Belle-Vue Kriek,kriek,"5,20%",Brouwerij Belle-Vue (InBev),?-heden
Belle-Vue Kriek Classique,Kriek,"5,10%",Brouwerij Belle-Vue (Inbev),?-heden
*Belle-Vue Kriek Primeur*,lambiek,"5,50%",Brouwerij Belle-Vue (InBev),1992-2004
Belle-Vue Extra Kriek,kriek,"4,30%",Brouwerij Belle-Vue (InBev),2004-heden
Belle-Vue Gueuze,lambiek,"5,50%",Brouwerij Belle-Vue (InBev),?-heden
